source,type,number,desc
snowflake,properties,1302,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1303,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1303,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1304,"{""bank_book_type"": ""Principal"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1304,"{""bank_book_type"": ""Principal"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1305,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1305,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1306,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1306,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1307,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1307,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1308,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1308,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1309,"{""bank_book_type"": ""Principal"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1309,"{""bank_book_type"": ""Principal"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1310,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1310,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1311,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1311,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1312,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1312,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1313,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1313,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1315,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1315,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
